phase,step,sim_time_s,commanded_hand_xyz_m,commanded_orientation_wxyz,gripper_closed,measured_hand_xyz_m,measured_orientation_wxyz,measured_joint_positions
right_cornice:release,17409,290.1666666666667,"[0.27978259325027466, 0.15210352838039398, 1.032429575920105]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27942633628845215, 0.15205435454845428, 1.0308088064193726]]","[[-0.0005595688126049936, 0.7070438861846924, 0.7071659564971924, -0.002237665234133601]]","[[0.6833028793334961, 0.948183000087738, -0.6790523529052734, -1.3421437740325928, 0.619151771068573, 2.071735382080078, -0.8745303750038147, 0.03953508287668228, 0.03953510522842407]]"
right_cornice:retreat,17529,292.1666666666667,"[0.2800872910022736, 0.1522582858800888, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27998441457748413, 0.15239101648330688, 1.176903247833252]]","[[-0.0009567724773660302, 0.7070935368537903, 0.7071153521537781, -0.00240321084856987]]","[[0.6953122019767761, 0.7947447896003723, -0.757454514503479, -1.2248625755310059, 0.5288128852844238, 1.8191347122192383, -0.8205668926239014, 0.03999963030219078, 0.03999969735741615]]"
right_cornice:settle,17565,292.76666666666665,"[0.27998441457748413, 0.15239101648330688, 1.176903247833252]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27991145849227905, 0.15252995491027832, 1.1752985715866089]]","[[-0.000978165538981557, 0.7070835828781128, 0.7071252465248108, -0.002415107097476721]]","[[0.6962034106254578, 0.7957217693328857, -0.7572107911109924, -1.22773277759552, 0.5297399759292603, 1.8224058151245117, -0.8211672902107239, 0.03999963775277138, 0.03999970108270645]]"
gate_merlon_0:clear,17655,294.26666666666665,"[0.27991145849227905, 0.15252995491027832, 1.18]","[0.0, 0.71024531210132, 0.703954257489859, 0.0]",False,"[[0.2798386812210083, 0.1526792049407959, 1.1781948804855347]]","[[-0.0009735823259688914, 0.7101361155509949, 0.7040596008300781, -0.002420499688014388]]","[[0.6967765688896179, 0.7944564819335938, -0.7601203322410583, -1.2231512069702148, 0.529873788356781, 1.8161159753799438, -0.8117760419845581, 0.039999641478061676, 0.03999970853328705]]"
gate_merlon_0:hover,17835,297.26666666666665,"[0.11914677172899246, -0.4045708179473877, 1.18]","[0.0, 0.71024531210132, 0.703954257489859, 0.0]",False,"[[0.11945292353630066, -0.4033800959587097, 1.1786710023880005]]","[[-0.0019477159949019551, 0.7101773023605347, 0.7040193676948547, -0.0010887953685596585]]","[[0.05590604618191719, 0.6743443608283997, -0.9022647142410278, -1.5042600631713867, 0.54385906457901, 1.9080102443695068, -1.7003296613693237, 0.03999972715973854, 0.0399995855987072]]"
gate_merlon_0:descend,17985,299.76666666666665,"[0.11914677172899246, -0.4045708179473877, 0.9119999299049377]","[0.0, 0.71024531210132, 0.703954257489859, 0.0]",False,"[[0.1190972626209259, -0.404498428106308, 0.9125559329986572]]","[[-0.00027465313905850053, 0.7092115879058838, 0.7049955129623413, 0.00048805170808918774]]","[[-0.08532063663005829, 1.0544588565826416, -0.6589761972427368, -1.5284483432769775, 0.7960673570632935, 2.298891544342041, -1.827121615409851, 0.03891169652342796, 0.039350882172584534]]"
gate_merlon_0:open_settle,18009,300.1666666666667,"[0.1190972626209259, -0.404498428106308, 0.9125559329986572]","[0.0, 0.71024531210132, 0.703954257489859, 0.0]",False,"[[0.1191515401005745, -0.40441837906837463, 0.9125643372535706]]","[[-0.00016620800306554884, 0.7090098261833191, 0.7051985859870911, 0.0002666336658876389]]","[[-0.08436200022697449, 1.0549598932266235, -0.6600126624107361, -1.528465747833252, 0.7968205809593201, 2.2987732887268066, -1.827757716178894, 0.03888309374451637, 0.03938046097755432]]"
gate_merlon_0:close,18069,301.1666666666667,"[0.1191515401005745, -0.40441837906837463, 0.9125643372535706]","[0.0, 0.71024531210132, 0.703954257489859, 0.0]",True,"[[0.11921723932027817, -0.40433648228645325, 0.9125643372535706]]","[[1.898191294458229e-05, 0.709001898765564, 0.7052066326141357, -6.057248174329288e-05]]","[[-0.08307521045207977, 1.055705189704895, -0.6614487171173096, -1.5284582376480103, 0.7978703379631042, 2.2986927032470703, -1.8278957605361938, 0.038845110684633255, 0.03942117840051651]]"
gate_merlon_0:lift,18219,303.6666666666667,"[0.11914677172899246, -0.4045708179473877, 1.18]","[0.0, 0.71024531210132, 0.703954257489859, 0.0]",True,"[[0.1192656010389328, -0.4043327271938324, 1.1776272058486938]]","[[-0.0015411259373649955, 0.71019047498703, 0.7040079832077026, 9.010131907416508e-05]]","[[0.06154002249240875, 0.6831006407737732, -0.9145531058311462, -1.5031450986862183, 0.5584779977798462, 1.9059427976608276, -1.708541989326477, 0.022646930068731308, 0.022778281942009926]]"
gate_merlon_0:traverse,18399,306.6666666666667,"[0.28, -0.043999999999999984, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2797301113605499, -0.04441596195101738, 1.1784504652023315]]","[[-0.0012249014107510448, 0.7070385813713074, 0.7071726322174072, -0.0013615257339552045]]","[[0.5018467903137207, 0.7610968351364136, -0.8284226655960083, -1.3216774463653564, 0.5552202463150024, 1.8442882299423218, -1.119988203048706, 0.02265067957341671, 0.022776415571570396]]"
gate_merlon_0:lower,18549,309.1666666666667,"[0.2804973709583283, -0.04353125044703483, 1.0205854349136352]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2801585793495178, -0.04346821829676628, 1.0196123123168945]]","[[-0.0012799008982256055, 0.707105278968811, 0.7071057558059692, -0.001410364406183362]]","[[0.4720313847064972, 0.9443069696426392, -0.7267751097679138, -1.422419786453247, 0.6753595471382141, 2.1049561500549316, -1.1835583448410034, 0.022652512416243553, 0.022777730599045753]]"
gate_merlon_0:pre_release,18567,309.4666666666667,"[0.2801585793495178, -0.04346821829676628, 1.0196123123168945]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27989891171455383, -0.04342295974493027, 1.018398642539978]]","[[-0.0012692036107182503, 0.7071055769920349, 0.7071054577827454, -0.0013974567409604788]]","[[0.4723656177520752, 0.9455563426017761, -0.7263477444648743, -1.423779845237732, 0.6767362952232361, 2.1071152687072754, -1.1844075918197632, 0.022660475224256516, 0.02278015948832035]]"
gate_merlon_0:release,18603,310.06666666666666,"[0.27989891171455383, -0.04342295974493027, 1.018398642539978]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2795199751853943, -0.043373480439186096, 1.01687490940094]]","[[-0.0014392908196896315, 0.7071095108985901, 0.7071000933647156, -0.0019086131360381842]]","[[0.4727618396282196, 0.947169840335846, -0.7258867621421814, -1.425251841545105, 0.6774929165840149, 2.1088852882385254, -1.1849086284637451, 0.03911249339580536, 0.039112500846385956]]"
gate_merlon_0:retreat,18723,312.06666666666666,"[0.2804973709583283, -0.04353125044703483, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28041768074035645, -0.04335606098175049, 1.1768953800201416]]","[[-0.001414168276824057, 0.7070811986923218, 0.70712810754776, -0.0020205182954669]]","[[0.504048764705658, 0.7668912410736084, -0.8317991495132446, -1.3187849521636963, 0.5598245859146118, 1.8430626392364502, -1.119885802268982, 0.03999948129057884, 0.03999947011470795]]"
gate_merlon_0:settle,18759,312.6666666666667,"[0.28041768074035645, -0.04335606098175049, 1.1768953800201416]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28037184476852417, -0.043183282017707825, 1.175408959388733]]","[[-0.0014324306976050138, 0.7070677280426025, 0.7071415185928345, -0.002025493886321783]]","[[0.5048397779464722, 0.7679252028465271, -0.831484854221344, -1.3213015794754028, 0.560859739780426, 1.8460081815719604, -1.1204746961593628, 0.03999948874115944, 0.03999948501586914]]"
gate_merlon_1:clear,18849,314.1666666666667,"[0.28037184476852417, -0.043183282017707825, 1.18]","[0.0, 0.7090266214228788, 0.7051817142507723, 0.0]",False,"[[0.28032830357551575, -0.042999546974897385, 1.178322434425354]]","[[-0.0014308250974863768, 0.7089328169822693, 0.7052716612815857, -0.002029045717790723]]","[[0.5055795311927795, 0.766244113445282, -0.834271252155304, -1.3172210454940796, 0.5602929592132568, 1.8399864435195923, -1.1142234802246094, 0.03999951854348183, 0.03999951109290123]]"
gate_merlon_1:hover,19029,317.1666666666667,"[0.12056580185890198, -0.27097252011299133, 1.18]","[0.0, 0.7090266214228788, 0.7051817142507723, 0.0]",False,"[[0.12080954015254974, -0.27030134201049805, 1.179093837738037]]","[[-0.0013221114641055465, 0.7088885307312012, 0.7053182125091553, -0.0012919458094984293]]","[[0.45241785049438477, 0.47360333800315857, -1.0282833576202393, -1.8284032344818115, 0.45117369294166565, 2.0397675037384033, -1.5202653408050537, 0.03999916836619377, 0.039998989552259445]]"
gate_merlon_1:descend,19179,319.6666666666667,"[0.12056580185890198, -0.27097252011299133, 0.9119999299049377]","[0.0, 0.7090266214228788, 0.7051817142507723, 0.0]",False,"[[0.1204010620713234, -0.2710375487804413, 0.9125613570213318]]","[[6.516454595839605e-05, 0.7072274684906006, 0.706986129283905, 1.4748748071724549e-05]]","[[0.18696804344654083, 0.9058248400688171, -0.657782793045044, -1.8353052139282227, 0.8383166790008545, 2.4379289150238037, -1.7460476160049438, 0.039083365350961685, 0.03937356919050217]]"
gate_merlon_1:open_settle,19203,320.06666666666666,"[0.1204010620713234, -0.2710375487804413, 0.9125613570213318]","[0.0, 0.7090266214228788, 0.7051817142507723, 0.0]",False,"[[0.1204911470413208, -0.2709386348724365, 0.9125655889511108]]","[[0.0003054467961192131, 0.7072415947914124, 0.7069718241691589, -0.000374535215087235]]","[[0.1877569705247879, 0.9062470197677612, -0.6583638191223145, -1.83524489402771, 0.8380928635597229, 2.43825364112854, -1.7453773021697998, 0.03901886194944382, 0.03943810611963272]]"
gate_merlon_1:close,19263,321.06666666666666,"[0.1204911470413208, -0.2709386348724365, 0.9125655889511108]","[0.0, 0.7090266214228788, 0.7051817142507723, 0.0]",True,"[[0.12059153616428375, -0.2708471715450287, 0.9125642776489258]]","[[0.0005198953440412879, 0.707254946231842, 0.7069580554962158, -0.0007475700112991035]]","[[0.18801185488700867, 0.9063825011253357, -0.6583596467971802, -1.8351845741271973, 0.8372071981430054, 2.4388234615325928, -1.7443766593933105, 0.03894781321287155, 0.03951041027903557]]"
gate_merlon_1:lift,19413,323.56666666666666,"[0.12056580185890198, -0.27097252011299133, 1.18]","[0.0, 0.7090266214228788, 0.7051817142507723, 0.0]",True,"[[0.12059368938207626, -0.270691454410553, 1.1780610084533691]]","[[-0.000985224498435855, 0.7089064717292786, 0.705301821231842, -0.00024293411115650088]]","[[0.45809119939804077, 0.47994494438171387, -1.0367082357406616, -1.8296784162521362, 0.4619694650173187, 2.040384292602539, -1.5274333953857422, 0.02265463024377823, 0.02278522029519081]]"
gate_merlon_1:traverse,19593,326.56666666666666,"[0.28, 0.0, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27971822023391724, -0.00026584701845422387, 1.1784709692001343]]","[[-0.0010480560595169663, 0.7070363163948059, 0.7071750164031982, -0.0014839386567473412]]","[[0.5762826204299927, 0.7633107900619507, -0.8458020091056824, -1.3295960426330566, 0.5662024617195129, 1.843587040901184, -1.0651904344558716, 0.0226551853120327, 0.022782912477850914]]"
gate_merlon_1:lower,19743,329.06666666666666,"[0.28049325823783877, 0.0001770964008755982, 1.020565288543701]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.28015419840812683, 0.00021793665655422956, 1.0196077823638916]]","[[-0.0011203712783753872, 0.7071043848991394, 0.7071066498756409, -0.0015300160739570856]]","[[0.5440399050712585, 0.9470093250274658, -0.7409297823905945, -1.4289796352386475, 0.6885614991188049, 2.1030147075653076, -1.1301509141921997, 0.0226569976657629, 0.02278391271829605]]"
gate_merlon_1:pre_release,19761,329.3666666666667,"[0.28015419840812683, 0.00021793665655422956, 1.0196077823638916]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27989429235458374, 0.0002462049887981266, 1.0184043645858765]]","[[-0.0011142438743263483, 0.7071047425270081, 0.707106351852417, -0.0015164497308433056]]","[[0.5443364977836609, 0.9482382535934448, -0.7404441833496094, -1.4303162097930908, 0.6899075508117676, 2.1051480770111084, -1.1309866905212402, 0.02266271971166134, 0.022782351821660995]]"
gate_merlon_1:release,19797,329.9666666666667,"[0.27989429235458374, 0.0002462049887981266, 1.0184043645858765]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2795151174068451, 0.00027351046446710825, 1.016892671585083]]","[[-0.001291331835091114, 0.707108199596405, 0.7071013450622559, -0.0019975281320512295]]","[[0.5446845889091492, 0.9498268365859985, -0.739919126033783, -1.4317594766616821, 0.6907418966293335, 2.106860637664795, -1.1315370798110962, 0.03911260515451431, 0.03911261633038521]]"
gate_merlon_1:retreat,19917,331.9666666666667,"[0.28049325823783877, 0.0001770964008755982, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2804030179977417, 0.00034877838334068656, 1.1769115924835205]]","[[-0.001268953550606966, 0.7070808410644531, 0.7071285247802734, -0.0020925106946378946]]","[[0.5772748589515686, 0.7691652774810791, -0.8486090302467346, -1.3263282775878906, 0.5707407593727112, 1.842222809791565, -1.0656331777572632, 0.03999953344464302, 0.03999954089522362]]"
gate_merlon_1:settle,19953,332.56666666666666,"[0.2804030179977417, 0.00034877838334068656, 1.1769115924835205]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28034621477127075, 0.0005196139682084322, 1.1754400730133057]]","[[-0.0012866624165326357, 0.7070678472518921, 0.7071415185928345, -0.0020986516028642654]]","[[0.5780613422393799, 0.7702088356018066, -0.8482851386070251, -1.328804612159729, 0.5717935562133789, 1.8451194763183594, -1.0662246942520142, 0.03999953716993332, 0.03999955207109451]]"
gate_merlon_2:clear,20043,334.06666666666666,"[0.28034621477127075, 0.0005196139682084322, 1.18]","[0.0, 0.7049198140070418, 0.7092870052526534, 0.0]",False,"[[0.28029078245162964, 0.0007016683230176568, 1.178337812423706]]","[[-0.001297025359235704, 0.7049340009689331, 0.7092686295509338, -0.002096382901072502]]","[[0.5778915882110596, 0.7677567005157471, -0.8494123816490173, -1.324891448020935, 0.5698081851005554, 1.839624047279358, -1.0706605911254883, 0.03999955207109451, 0.03999955952167511]]"
gate_merlon_2:hover,20223,337.06666666666666,"[0.12234164774417877, -0.13663706183433533, 1.18]","[0.0, 0.7049198140070418, 0.7092870052526534, 0.0]",False,"[[0.12252829223871231, -0.13600115478038788, 1.179328441619873]]","[[-0.0008241415489464998, 0.704590916633606, 0.7096120119094849, -0.0013325037434697151]]","[[0.8278481364250183, 0.3196043074131012, -1.1361336708068848, -2.012255907058716, 0.3390984833240509, 2.121417999267578, -1.2639063596725464, 0.03999711945652962, 0.0399969257414341]]"
gate_merlon_2:descend,20373,339.56666666666666,"[0.12234164774417877, -0.13663706183433533, 0.9119999299049377]","[0.0, 0.7049198140070418, 0.7092870052526534, 0.0]",False,"[[0.12213006615638733, -0.13679222762584686, 0.9125818014144897]]","[[0.0001742274616844952, 0.702540934085846, 0.7116432189941406, -0.0004934393218718469]]","[[0.4394913911819458, 0.8140352368354797, -0.6451199650764465, -2.006924867630005, 0.8576178550720215, 2.526646614074707, -1.5925781726837158, 0.03924696519970894, 0.039296798408031464]]"
gate_merlon_2:open_settle,20397,339.9666666666667,"[0.12213006615638733, -0.13679222762584686, 0.9125818014144897]","[0.0, 0.7049198140070418, 0.7092870052526534, 0.0]",False,"[[0.12220380455255508, -0.1367175132036209, 0.9125708341598511]]","[[0.0006360143888741732, 0.7028602957725525, 0.7113272547721863, -0.0007646849262528121]]","[[0.4400649666786194, 0.8144111037254333, -0.6454092860221863, -2.006894588470459, 0.857403576374054, 2.5274829864501953, -1.5911158323287964, 0.03913727030158043, 0.03940337896347046]]"
gate_merlon_2:close,20457,340.9666666666667,"[0.12220380455255508, -0.1367175132036209, 0.9125708341598511]","[0.0, 0.7049198140070418, 0.7092870052526534, 0.0]",True,"[[0.12230704724788666, -0.1366148144006729, 0.9125696420669556]]","[[0.0008982713334262371, 0.7028846740722656, 0.7113023400306702, -0.0011632967507466674]]","[[0.43913814425468445, 0.8139148354530334, -0.6441754698753357, -2.0069243907928467, 0.8547324538230896, 2.528718948364258, -1.5889551639556885, 0.03905915841460228, 0.039482481777668]]"
gate_merlon_2:lift,20607,343.4666666666667,"[0.12234164774417877, -0.13663706183433533, 1.18]","[0.0, 0.7049198140070418, 0.7092870052526534, 0.0]",True,"[[0.12229621410369873, -0.13625802099704742, 1.1782985925674438]]","[[-0.0005916348309256136, 0.7046453356742859, 0.7095592617988586, -0.0005927857127971947]]","[[0.8324229717254639, 0.3243034780025482, -1.1420292854309082, -2.0142314434051514, 0.3468952476978302, 2.123608350753784, -1.2694358825683594, 0.022650986909866333, 0.022773591801524162]]"
gate_merlon_2:traverse,20787,346.4666666666667,"[0.28, 0.043999999999999984, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2797018587589264, 0.04388164356350899, 1.1784656047821045]]","[[-0.0009176984312944114, 0.7070368528366089, 0.7071742415428162, -0.001652606762945652]]","[[0.6386705040931702, 0.7723531723022461, -0.8540710210800171, -1.3203951120376587, 0.5755757689476013, 1.8373730182647705, -1.0064865350723267, 0.02265063114464283, 0.022772284224629402]]"
gate_merlon_2:lower,20937,348.9666666666667,"[0.2803982484340668, 0.04394896352291107, 1.020560520172119]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2800532877445221, 0.043966785073280334, 1.019599437713623]]","[[-0.0010003530187532306, 0.7071110606193542, 0.7070998549461365, -0.0016822488978505135]]","[[0.6071300506591797, 0.9547591805458069, -0.7488446235656738, -1.4209425449371338, 0.6970195174217224, 2.096656560897827, -1.071511149406433, 0.02265002578496933, 0.022772585973143578]]"
gate_merlon_2:pre_release,20955,349.26666666666665,"[0.2800532877445221, 0.043966785073280334, 1.019599437713623]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27979180216789246, 0.0439794547855854, 1.0183886289596558]]","[[-0.0009891747031360865, 0.7071095108985901, 0.7071014642715454, -0.0016494112787768245]]","[[0.6074030995368958, 0.9559551477432251, -0.7482900023460388, -1.4223155975341797, 0.6983396410942078, 2.0988609790802, -1.0723485946655273, 0.022654466331005096, 0.022793598473072052]]"
gate_merlon_2:release,20991,349.8666666666667,"[0.27979180216789246, 0.0439794547855854, 1.0183886289596558]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2794129252433777, 0.04398275911808014, 1.0168728828430176]]","[[-0.0011617637937888503, 0.7071111798286438, 0.7070984244346619, -0.0020875236950814724]]","[[0.6077237725257874, 0.9575148820877075, -0.7477098107337952, -1.4237830638885498, 0.6992592215538025, 2.100606679916382, -1.0729659795761108, 0.039112310856580734, 0.03911232203245163]]"
gate_merlon_2:retreat,21111,351.8666666666667,"[0.2803982484340668, 0.04394896352291107, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28029966354370117, 0.044113513082265854, 1.1769065856933594]]","[[-0.0011424304684624076, 0.7070833444595337, 0.7071260809898376, -0.002164829522371292]]","[[0.6389495134353638, 0.7776580452919006, -0.8563669323921204, -1.3176852464675903, 0.5797726511955261, 1.8364202976226807, -1.00740385055542, 0.0399995781481266, 0.03999960049986839]]"
gate_merlon_2:settle,21147,352.4666666666667,"[0.28029966354370117, 0.044113513082265854, 1.1769065856933594]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28023475408554077, 0.044279325753450394, 1.1754306554794312]]","[[-0.0011600484140217304, 0.7070704102516174, 0.7071389555931091, -0.0021713057067245245]]","[[0.6397504210472107, 0.7787082195281982, -0.8560435175895691, -1.32017183303833, 0.5808310508728027, 1.8393170833587646, -1.0080043077468872, 0.0399995855987072, 0.03999961167573929]]"
left_crown_a:clear,21237,353.9666666666667,"[0.28023475408554077, 0.044279325753450394, 1.18]","[0.0, 0.7020142393882882, 0.7121629081158911, 0.0]",False,"[[0.2801705002784729, 0.04445658251643181, 1.1783323287963867]]","[[-0.001178927719593048, 0.7021079063415527, 0.7120663523674011, -0.002166248159483075]]","[[0.6388964653015137, 0.775730311870575, -0.8559865355491638, -1.316290020942688, 0.577879786491394, 1.8341501951217651, -1.019972801208496, 0.0399995893239975, 0.03999961167573929]]"
left_crown_a:hover,21417,356.9666666666667,"[0.11750409007072449, 0.0019958633929491043, 1.18]","[0.0, 0.7020142393882882, 0.7121629081158911, 0.0]",False,"[[0.11759810894727707, 0.002803759416565299, 1.1794190406799316]]","[[-0.0004589266318362206, 0.7012412548065186, 0.7129226922988892, -0.0013592337490990758]]","[[1.1573002338409424, 0.21929053962230682, -1.1954962015151978, -2.0965349674224854, 0.24449029564857483, 2.1614325046539307, -0.9703430533409119, 0.03999701142311096, 0.03999711945652962]]"
left_crown_a:descend,21567,359.4666666666667,"[0.11750409007072449, 0.0019958633929491043, 0.9219999251365661]","[0.0, 0.7020142393882882, 0.7121629081158911, 0.0]",False,"[[0.11702464520931244, 0.0019559431821107864, 0.9221631288528442]]","[[-0.0007337655988521874, 0.701924741268158, 0.7122485637664795, -0.001774403266608715]]","[[0.7055213451385498, 0.7467730641365051, -0.6499588489532471, -2.0959267616271973, 0.8404776453971863, 2.558224678039551, -1.3552486896514893, 0.039991967380046844, 0.03999277949333191]]"
left_crown_a:open_settle,21591,359.8666666666667,"[0.11702464520931244, 0.0019559431821107864, 0.9221631288528442]","[0.0, 0.7020142393882882, 0.7121629081158911, 0.0]",False,"[[0.11661572754383087, 0.0019164024852216244, 0.9214266538619995]]","[[-0.0007274851086549461, 0.7019124031066895, 0.7122607231140137, -0.0017690532840788364]]","[[0.7048593759536743, 0.7476406097412109, -0.6486122608184814, -2.0965988636016846, 0.8422483205795288, 2.5598223209381104, -1.3567097187042236, 0.039991386234760284, 0.039992064237594604]]"
left_crown_a:close,21651,360.8666666666667,"[0.11661572754383087, 0.0019164024852216244, 0.9214266538619995]","[0.0, 0.7020142393882882, 0.7121629081158911, 0.0]",True,"[[0.11623365432024002, 0.0018343799747526646, 0.9207044839859009]]","[[-0.0003732412005774677, 0.7019234895706177, 0.7122507095336914, -0.001529958564788103]]","[[0.7046388387680054, 0.7488119602203369, -0.6476349234580994, -2.0972836017608643, 0.8452649116516113, 2.562060594558716, -1.358984351158142, 0.026707785204052925, 0.0268408190459013]]"
left_crown_a:lift,21801,363.3666666666667,"[0.11750409007072449, 0.0019958633929491043, 1.18]","[0.0, 0.7020142393882882, 0.7121629081158911, 0.0]",True,"[[0.11729136854410172, 0.0026647308841347694, 1.1783710718154907]]","[[-0.0004535038606263697, 0.7013658881187439, 0.7127999067306519, -0.0014073584461584687]]","[[1.1631914377212524, 0.22390370070934296, -1.2022608518600464, -2.0986039638519287, 0.25054991245269775, 2.1630451679229736, -0.9745123982429504, 0.026841849088668823, 0.02684648148715496]]"
left_crown_a:traverse,21981,366.3666666666667,"[0.28, -0.16999999999999998, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27969345450401306, -0.16954311728477478, 1.178285837173462]]","[[-0.0018784889252856374, 0.7070870995521545, 0.707121729850769, -0.0017794243758544326]]","[[0.2962607741355896, 0.8500384092330933, -0.8587605953216553, -1.1904524564743042, 0.6185488700866699, 1.7786012887954712, -1.2911733388900757, 0.02684136852622032, 0.026847628876566887]]"
left_crown_a:lower,22131,368.8666666666667,"[0.28059726834297183, -0.1702395063638687, 1.0571769256591796]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.28029248118400574, -0.17012302577495575, 1.055919885635376]]","[[-0.0019473778083920479, 0.7071447372436523, 0.7070637941360474, -0.0018220100319013]]","[[0.29500812292099, 0.9736521244049072, -0.7921165823936462, -1.2993851900100708, 0.6981284022331238, 1.9873018264770508, -1.3393325805664062, 0.02684113010764122, 0.026848169043660164]]"
left_crown_a:pre_release,22149,369.1666666666667,"[0.28029248118400574, -0.17012302577495575, 1.055919885635376]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.280069500207901, -0.17004914581775665, 1.0546492338180542]]","[[-0.0018831337802112103, 0.7071427702903748, 0.7070660591125488, -0.0017990488559007645]]","[[0.2954920828342438, 0.9746198058128357, -0.7915852069854736, -1.3013259172439575, 0.6991804838180542, 1.989890217781067, -1.340122938156128, 0.026852918788790703, 0.02685166895389557]]"
left_crown_a:release,22185,369.76666666666665,"[0.280069500207901, -0.17004914581775665, 1.0546492338180542]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2797897756099701, -0.16994087398052216, 1.0530449151992798]]","[[-0.001881335163488984, 0.7071351408958435, 0.7070737481117249, -0.0017773587023839355]]","[[0.29609185457229614, 0.9759031534194946, -0.7909541726112366, -1.303648591041565, 0.7005800604820251, 1.9929167032241821, -1.341127634048462, 0.03932710364460945, 0.03932710736989975]]"
left_crown_a:retreat,22305,371.76666666666665,"[0.28059726834297183, -0.1702395063638687, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2805742621421814, -0.17008155584335327, 1.177121877670288]]","[[-0.0018508235225453973, 0.7071091532707214, 0.7070999145507812, -0.0017402229132130742]]","[[0.2937658429145813, 0.8553991913795471, -0.8594989776611328, -1.184988021850586, 0.622257649898529, 1.777567982673645, -1.2917578220367432, 0.039999473839998245, 0.039999425411224365]]"
left_crown_a:settle,22341,372.3666666666667,"[0.2805742621421814, -0.17008155584335327, 1.177121877670288]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28057822585105896, -0.16993315517902374, 1.1755259037017822]]","[[-0.0018708729185163975, 0.7071015238761902, 0.707107424736023, -0.0017398939235135913]]","[[0.2947850823402405, 0.8564558029174805, -0.8592511415481567, -1.1878550052642822, 0.6232707500457764, 1.7807252407073975, -1.2924443483352661, 0.039999477565288544, 0.03999944031238556]]"
left_crown_b:clear,22431,373.8666666666667,"[0.28057822585105896, -0.16993315517902374, 1.18]","[0.0, 0.7148684975829638, 0.6992589156839376, 0.0]",False,"[[0.28058677911758423, -0.16977612674236298, 1.178209900856018]]","[[-0.0018567356746643782, 0.714657187461853, 0.6994702219963074, -0.0017562891589477658]]","[[0.2958100438117981, 0.8562408089637756, -0.8638915419578552, -1.1832622289657593, 0.6250401139259338, 1.7743264436721802, -1.2707257270812988, 0.03999951109290123, 0.03999947011470795]]"
left_crown_b:hover,22611,376.8666666666667,"[0.11843621730804443, 0.13725890219211578, 1.18]","[0.0, 0.7148684975829638, 0.6992589156839376, 0.0]",False,"[[0.11844998598098755, 0.13708943128585815, 1.1793397665023804]]","[[-0.00016705777670722455, 0.7144381403923035, 0.699696958065033, -0.0015382691053673625]]","[[1.3129936456680298, 0.2988005578517914, -1.1370694637298584, -2.0275685787200928, 0.3188728988170624, 2.12992787361145, -0.7452165484428406, 0.0399986170232296, 0.03999890387058258]]"
left_crown_b:descend,22761,379.3666666666667,"[0.11843621730804443, 0.13725890219211578, 0.9219999251365661]","[0.0, 0.7148684975829638, 0.6992589156839376, 0.0]",False,"[[0.11796319484710693, 0.13710467517375946, 0.922091543674469]]","[[-0.0003036955022253096, 0.7147876024246216, 0.6993387937545776, -0.0019664785359054804]]","[[0.9294973611831665, 0.7829064726829529, -0.6552947163581848, -2.0317723751068115, 0.8334351778030396, 2.523188352584839, -1.0659877061843872, 0.03999415412545204, 0.039994921535253525]]"
