phase,step,sim_time_s,commanded_hand_xyz_m,commanded_orientation_wxyz,gripper_closed,measured_hand_xyz_m,measured_orientation_wxyz,measured_joint_positions
left_wall:pre_release,4331,72.19999999999999,"[0.28002431988716125, -0.08900196105241776, 0.9637406468391418]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27968698740005493, -0.0889873057603836, 0.9625149369239807]]","[[-0.00148345238994807, 0.7071638703346252, 0.7070472836494446, -0.001150197465904057]]","[[0.37266382575035095, 1.0472768545150757, -0.681083619594574, -1.377860188484192, 0.7201089262962341, 2.1670889854431152, -1.2577054500579834, 0.022816773504018784, 0.022827086970210075]]"
left_wall:release,4367,72.8,"[0.27968698740005493, -0.0889873057603836, 0.9625149369239807]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2791891396045685, -0.08895329385995865, 0.9609423875808716]]","[[-0.001640720060095191, 0.7071461081504822, 0.7070633769035339, -0.001781146158464253]]","[[0.3731194734573364, 1.049041986465454, -0.680694580078125, -1.3792521953582764, 0.72072833776474, 2.1688692569732666, -1.2582110166549683, 0.03912073373794556, 0.039120741188526154]]"
left_wall:retreat,4487,74.8,"[0.2805317628383637, -0.08906640702486038, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2804514467716217, -0.08889628201723099, 1.1763403415679932]]","[[-0.0015614674193784595, 0.7070984244346619, 0.7071108818054199, -0.0019319570856168866]]","[[0.42909324169158936, 0.78286212682724, -0.8287087082862854, -1.291857123374939, 0.5665805339813232, 1.8326313495635986, -1.180514931678772, 0.03999948129057884, 0.03999945893883705]]"
left_wall:settle,4523,75.39999999999999,"[0.2804514467716217, -0.08889628201723099, 1.1763403415679932]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2804194688796997, -0.08872684836387634, 1.1748270988464355]]","[[-0.0015852972865104675, 0.7070772051811218, 0.7071319818496704, -0.0019359568832442164]]","[[0.42991358041763306, 0.7838985323905945, -0.8283998370170593, -1.2944389581680298, 0.5676051378250122, 1.835622787475586, -1.1811420917510986, 0.03999949246644974, 0.039999473839998245]]"
right_wall:clear,4613,76.89999999999999,"[0.2804194688796997, -0.08872684836387634, 1.18]","[0.0, 0.7158410536778154, 0.698263264012532, 0.0]",False,"[[0.2803918719291687, -0.08854664862155914, 1.1782804727554321]]","[[-0.0015678911004215479, 0.7155760526657104, 0.6985304355621338, -0.0019524807576090097]]","[[0.4319043457508087, 0.7831251621246338, -0.8341509699821472, -1.2892321348190308, 0.5691145658493042, 1.8277207612991333, -1.1567410230636597, 0.03999952971935272, 0.03999951109290123]]"
right_wall:hover,4844,80.75,"[-0.16738957166671753, 0.13689512014389038, 1.18]","[0.0, 0.7158410536778154, 0.698263264012532, 0.0]",False,"[[-0.16394424438476562, 0.13504375517368317, 1.17949378490448]]","[[-0.0003043905890081078, 0.7152942419052124, 0.6988216638565063, -0.001543726189993322]]","[[0.9604642391204834, -0.8170875906944275, -0.5168209075927734, -2.8482580184936523, -0.4201826751232147, 2.059077024459839, 0.035238396376371384, 0.03997369483113289, 0.03997369483113289]]"
right_wall:descend,5074,84.58333333333333,"[-0.16738957166671753, 0.13689512014389038, 0.9449999260902404]","[0.0, 0.7158410536778154, 0.698263264012532, 0.0]",False,"[[-0.16801024973392487, 0.13664036989212036, 0.9487404823303223]]","[[0.0006302078836597502, 0.716783881187439, 0.6972919702529907, -0.0021229698322713375]]","[[1.0166206359863281, 0.1495278924703598, -0.3577367961406708, -2.9432239532470703, 0.6818646788597107, 3.0614590644836426, -0.775784969329834, 0.03995988517999649, 0.03996088355779648]]"
right_wall:open_settle,5098,84.98333333333332,"[-0.16801024973392487, 0.13664036989212036, 0.9487404823303223]","[0.0, 0.7158410536778154, 0.698263264012532, 0.0]",False,"[[-0.16824831068515778, 0.1366710513830185, 0.9485670328140259]]","[[0.0003091998805757612, 0.7158514261245728, 0.6982511878013611, -0.001403651898726821]]","[[1.0084316730499268, 0.15027354657649994, -0.3469577133655548, -2.942563533782959, 0.6929799318313599, 3.0632596015930176, -0.7870330214500427, 0.039959922432899475, 0.03996097669005394]]"
right_wall:close,5158,85.98333333333332,"[-0.16824831068515778, 0.1366710513830185, 0.9485670328140259]","[0.0, 0.7158410536778154, 0.698263264012532, 0.0]",True,"[[-0.16836972534656525, 0.1366708129644394, 0.9484396576881409]]","[[0.0005748558323830366, 0.7154209613800049, 0.6986932754516602, -0.0004957614000886679]]","[[1.0034164190292358, 0.1514723151922226, -0.3391304016113281, -2.9417834281921387, 0.70433109998703, 3.0659234523773193, -0.7968186140060425, 0.02283317595720291, 0.022845951840281487]]"
right_wall:lift,5388,89.81666666666666,"[-0.16738957166671753, 0.13689512014389038, 1.18]","[0.0, 0.7158410536778154, 0.698263264012532, 0.0]",True,"[[-0.1676562875509262, 0.136908620595932, 1.1761815547943115]]","[[0.0011976789683103561, 0.7140039801597595, 0.7001402974128723, -0.0007058193441480398]]","[[0.969111442565918, -0.8235923647880554, -0.5195244550704956, -2.8608288764953613, -0.42979711294174194, 2.06600022315979, 0.047466639429330826, 0.02282349392771721, 0.022864416241645813]]"
right_wall:traverse,5612,93.55,"[0.28, 0.089, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27667802572250366, 0.08952246606349945, 1.1780855655670166]]","[[-0.0005450897151604295, 0.7070677280426025, 0.7071411609649658, -0.0025282290298491716]]","[[0.6547176837921143, 0.7439183592796326, -0.7750034332275391, -1.3172262907028198, 0.513362467288971, 1.8545275926589966, -0.9141624569892883, 0.02282501570880413, 0.022860733792185783]]"
right_wall:lower,5762,96.05,"[0.28050011277198794, 0.0888452365398407, 0.9644419965744018]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27997642755508423, 0.08877454698085785, 0.9635071158409119]]","[[-0.0010005157673731446, 0.7071075439453125, 0.7071024775505066, -0.002000166568905115]]","[[0.5879373550415039, 1.0249814987182617, -0.6337298154830933, -1.3811017274856567, 0.6666085720062256, 2.1838221549987793, -0.9895499348640442, 0.022824905812740326, 0.022860771045088768]]"
right_wall:pre_release,5780,96.35,"[0.27997642755508423, 0.08877454698085785, 0.9635071158409119]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2796423137187958, 0.08872025460004807, 0.9622862339019775]]","[[-0.0008980875718407333, 0.7070881724357605, 0.7071223855018616, -0.0018977443687617779]]","[[0.588130533695221, 1.0261720418930054, -0.6331000924110413, -1.3824859857559204, 0.6678622364997864, 2.186411142349243, -0.9905074238777161, 0.022813839837908745, 0.022813593968749046]]"
